base_score,353
age,Score
"(-inf, 42.0]",-13.0
"(42.0, 53.0]",-5.0
"(53.0, 56.0]",1.0
"(56.0, 63.0]",10.0
"(63.0, inf]",31.0
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.117]",75.0
"(0.117, 0.23]",41.0
"(0.23, 0.5]",7.0
"(0.5, 0.716]",-28.0
"(0.716, 1.003]",-52.0
"(1.003, inf]",-105.0
DebtRatio,Score
"(-inf, 0.00712]",35.0
"(0.00712, 0.505]",4.0
"(0.505, 1.539]",-24.0
"(1.539, inf]",8.0
MonthlyIncome,Score
"(-inf, 0.2]",20.0
"(0.2, 4558.482]",-6.0
"(4558.482, inf]",4.0
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-8.0
"(1.0, 3.0]",-3.0
"(3.0, 5.0]",-0.0
"(5.0, 13.0]",2.0
"(13.0, inf]",0.0
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",19.0
"(0.0, 1.0]",-37.0
"(1.0, 2.0]",-62.0
"(2.0, inf]",-83.0
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",14.0
"(0.0, 1.0]",-76.0
"(1.0, 2.0]",-100.0
"(2.0, inf]",-117.0
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-13.0
"(0.0, 1.0]",12.0
"(1.0, 2.0]",13.0
"(2.0, 4.0]",2.0
"(4.0, inf]",-48.0
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",7.0
"(0.0, 1.0]",-52.0
"(1.0, 2.0]",-72.0
"(2.0, inf]",-83.0
NumberOfDependents,Score
"(-inf, 0.0]",13.0
"(0.0, 1.0]",-11.0
"(1.0, 2.0]",-14.0
"(2.0, inf]",-17.0
